Year,Month,Price_uran
2000,Jan,9.55
2000,Feb,9.39
2000,Mar,9.31
2000,Apr,9.14
2000,May,8.5
2000,Jun,8.23
2000,Jul,8.1
2000,Aug,7.96
2000,Sep,7.57
2000,Oct,7.4
2000,Nov,7.13
2000,Dec,7.14
2001,Jan,7.1
2001,Feb,7.39
2001,Mar,7.69
2001,Apr,8.23
2001,May,9
2001,Jun,8.78
2001,Jul,8.75
2001,Aug,8.95
2001,Sep,9.15
2001,Oct,9.47
2001,Nov,9.43
2001,Dec,9.5
2002,Jan,9.59
2002,Feb,9.72
2002,Mar,9.95
2002,Apr,9.75
2002,May,9.9
2002,Jun,9.9
2002,Jul,9.89
2002,Aug,9.85
2002,Sep,9.8
2002,Oct,9.84
2002,Nov,9.86
2002,Dec,9.88
2003,Jan,10.16
2003,Feb,10.1
2003,Mar,10.1
2003,Apr,10.1
2003,May,10.9
2003,Jun,10.9
2003,Jul,10.95
2003,Aug,11.24
2003,Sep,11.49
2003,Oct,12.37
2003,Nov,13.18
2003,Dec,13.35
2004,Jan,14.8
2004,Feb,16.05
2004,Mar,17.14
2004,Apr,17.75
2004,May,17.75
2004,Jun,17.88
2004,Jul,17.9
2004,Aug,17.9
2004,Sep,18.6
2004,Oct,20.08
2004,Nov,20.2
2004,Dec,20.5
2005,Jan,20.54
2005,Feb,21.2
2005,Mar,21.84
2005,Apr,23.14
2005,May,28.25
2005,Jun,29
2005,Jul,29.28
2005,Aug,29.65
2005,Sep,30.43
2005,Oct,32.75
2005,Nov,33.56
2005,Dec,35.53
2006,Jan,36.75
2006,Feb,37.69
2006,Mar,39.77
2006,Apr,41.1
2006,May,42.28
2006,Jun,44.17
2006,Jul,46.5
2006,Aug,47.44
2006,Sep,52.44
2006,Oct,56.06
2006,Nov,61.44
2006,Dec,66.57
2007,Jan,72
2007,Feb,76.25
2007,Mar,89.44
2007,Apr,110.43
2007,May,119.11
2007,Jun,136.22
2007,Jul,131.5
2007,Aug,109.6
2007,Sep,85
2007,Oct,77.5
2007,Nov,92
2007,Dec,91.8
2008,Jan,87.56
2008,Feb,76
2008,Mar,73.71
2008,Apr,69.44
2008,May,61.67
2008,Jun,59
2008,Jul,61.84
2008,Aug,64.5
2008,Sep,63
2008,Oct,48.6
2008,Nov,50.5
2008,Dec,54.33
2009,Jan,51.44
2009,Feb,47
2009,Mar,43.38
2009,Apr,41.72
2009,May,48.56
2009,Jun,51.5
2009,Jul,49.7
2009,Aug,47.19
2009,Sep,44.28
2009,Oct,46.11
2009,Nov,44.75
2009,Dec,44.44
2010,Jan,43.83
2010,Feb,42.1
2010,Mar,40.91
2010,Apr,41.33
2010,May,41.3
2010,Jun,40.78
2010,Jul,41.94
2010,Aug,46.06
2010,Sep,46.67
2010,Oct,48.83
2010,Nov,57.16
2010,Dec,60.63
2011,Jan,63.88
2011,Feb,65
2011,Mar,63.5
2011,Apr,57.82
2011,May,56.06
2011,Jun,55.4
2011,Jul,52.79
2011,Aug,50.68
2011,Sep,51.98
2011,Oct,52.34
2011,Nov,53.19
2011,Dec,52.18
2012,Jan,52.31
2012,Feb,52.06
2012,Mar,51.29
2012,Apr,51.3
2012,May,51.89
2012,Jun,50.83
2012,Jul,50.36
2012,Aug,49.25
2012,Sep,47.73
2012,Oct,44.61
2012,Nov,41.5
2012,Dec,43.67
2013,Jan,42.75
2013,Feb,43.41
2013,Mar,42.28
2013,Apr,41.41
2013,May,40.61
2013,Jun,39.94
2013,Jul,38.02
2013,Aug,34.99
2013,Sep,34.45
2013,Oct,34.85
2013,Nov,35.59
2013,Dec,34.59
2014,Jan,35.21
2014,Feb,35.55
2014,Mar,34.7
2014,Apr,32.74
2014,May,28.54
2014,Jun,28.23
2014,Jul,28.4
2014,Aug,30.83
2014,Sep,34.37
2014,Oct,35.75
2014,Nov,40.6
2014,Dec,36.95
2015,Jan,35.9
2015,Feb,38.19
2015,Mar,39.32
2015,Apr,38.84
2015,May,35.69
2015,Jun,36.05
2015,Jul,36.28
2015,Aug,36.1
2015,Sep,37.06
2015,Oct,37.24
2015,Nov,35.96
2015,Dec,35.16
2016,Jan,34.69
2016,Feb,34.01
2016,Mar,30.11
2016,Apr,27.82
2016,May,27.95
2016,Jun,27.35
2016,Jul,25.85
2016,Aug,25.9
2016,Sep,24.88
2016,Oct,21.49
2016,Nov,18.57
2016,Dec,19.22
2017,Jan,22.17
2017,Feb,25.15
2017,Mar,24.64
2017,Apr,23.25
2017,May,21.64
2017,Jun,19.75
2017,Jul,20.36
2017,Aug,20.41
2017,Sep,20.43
2017,Oct,20.23
2017,Nov,22.35
2017,Dec,24.69
2018,Jan,23.37
2018,Feb,21.76
2018,Mar,21.73
2018,Apr,20.85
2018,May,21.98
2018,Jun,23.07
2018,Jul,23.42
2018,Aug,26.05
2018,Sep,27.11
2018,Oct,27.51
2018,Nov,28.93
2018,Dec,28.76
2019,Jan,28.71
2019,Feb,28.65
2019,Mar,27.2
2019,Apr,25.7
2019,May,24.68
2019,Jun,24.48
2019,Jul,25.23
2019,Aug,25.28
2019,Sep,25.41
2019,Oct,24.92
2019,Nov,24.99
2019,Dec,25.63
2020,Jan,24.64
2020,Feb,24.69
2020,Mar,24.66
2020,Apr,29.96
2020,May,33.51
2020,Jun,33.09
2020,Jul,32.36
2020,Aug,31.38
2020,Sep,29.98
2020,Oct,29.64
2020,Nov,29.49
2020,Dec,29.77
2021,Jan,29.86
2021,Feb,28.66
2021,Mar,28.33
2021,Apr,29.75
2021,May,30.26
2021,Jun,32.14
2021,Jul,32.34
2021,Aug,32.15
2021,Sep,45.08
2021,Oct,38.48
2021,Nov,31.1
2021,Dec,NA
2022,Jan,NA
